TIME,FSP_X
1.056,0.0701546
1.057,0.0701445
1.058,0.0701313
1.059,0.0701522
1.06,0.0701446
1.061,0.0700731
1.062,0.0700178
1.063,0.0700203
1.064,0.0699579
1.065,0.0699042
1.066,0.0698994
1.067,0.0698754
1.068,0.0698891
1.069,0.0698855
1.07,0.0698063
1.071,0.0697609
1.072,0.0699006
1.073,0.0700095
1.074,0.0699866
1.075,0.0699846
1.076,0.0700098
1.077,0.0700444
1.078,0.0700104
1.079,0.0699973
1.08,0.0700165
1.081,0.070033
1.082,0.0701977
1.083,0.0702803
1.084,0.0701958
1.085,0.0701426
1.086,0.0701062
1.087,0.0701056
1.088,0.0700532
1.089,0.0700117
1.09,0.0700536
1.091,0.0700447
1.092,0.0699963
1.093,0.0699945
1.094,0.0700056
1.095,0.0700208
1.096,0.0700202
1.097,0.0699455
1.098,0.0698311
1.099,0.0697022
1.1,0.0696222
1.101,0.0696408
1.102,0.0696285
1.103,0.0695881
1.104,0.0695573
1.105,0.0695439
1.106,0.0695094
1.107,0.069423
1.108,0.0693615
1.109,0.0693205
1.11,0.0692634
1.111,0.0692427
1.112,0.0692621
1.113,0.0692274
1.114,0.0692161
1.115,0.0692319
1.116,0.0692579
1.117,0.0692746
1.118,0.0692069
1.119,0.0691737
1.12,0.0691564
1.121,0.0690937
1.122,0.0690826
1.123,0.069235
1.124,0.0693964
1.125,0.0694153
1.126,0.0694335
1.127,0.0694746
1.128,0.0695231
1.129,0.0695137
1.13,0.069487
1.131,0.0695033
1.132,0.0694915
1.133,0.0694163
1.134,0.0693583
1.135,0.069358
1.136,0.0693828
1.137,0.0694284
1.138,0.0694787
1.139,0.0695254
1.14,0.0695434
1.141,0.0695759
1.142,0.0695693
1.143,0.0695506
1.144,0.0695436
1.145,0.0694882
1.146,0.0693983
1.147,0.0693086
1.148,0.0692569
1.149,0.0692578
1.15,0.0693113
1.151,0.069298
1.152,0.0692447
1.153,0.0691963
1.154,0.0691345
1.155,0.0691364
1.156,0.069155
1.157,0.0691049
1.158,0.0690517
1.159,0.0689661
1.16,0.0689009
1.161,0.0689057
1.162,0.068865
1.163,0.0688492
1.164,0.0688849
1.165,0.0689314
1.166,0.0689003
1.167,0.0688418
1.168,0.0688494
1.169,0.0688455
1.17,0.0688598
1.171,0.0688772
1.172,0.0688258
1.173,0.0687745
1.174,0.0688107
1.175,0.0688721
1.176,0.0688507
1.177,0.0688308
1.178,0.0688481
1.179,0.0688115
1.18,0.0687751
1.181,0.0687528
1.182,0.0687242
1.183,0.0687123
1.184,0.0687525
1.185,0.0687927
1.186,0.0688012
1.187,0.0687427
1.188,0.0686538
1.189,0.0685867
1.19,0.0685186
1.191,0.0685059
1.192,0.0684762
1.193,0.0684694
1.194,0.0684302
1.195,0.0683851
1.196,0.068413
1.197,0.068448
1.198,0.0684457
1.199,0.0684063
1.2,0.0683811
1.201,0.0683393
1.202,0.0683557
1.203,0.0684011
1.204,0.0684061
1.205,0.0683688
1.206,0.0683574
1.207,0.0683273
1.208,0.0683071
1.209,0.0683074
1.21,0.0682723
1.211,0.0682866
1.212,0.0682768
1.213,0.0682776
1.214,0.0683189
1.215,0.0683667
1.216,0.0684291
1.217,0.0684705
1.218,0.0685151
1.219,0.0685417
1.22,0.0685677
1.221,0.068548
1.222,0.0685305
1.223,0.0685528
1.224,0.0685635
1.225,0.0685735
1.226,0.0685085
1.227,0.0684302
1.228,0.0683807
1.229,0.0684033
1.23,0.0684324
1.231,0.0684439
1.232,0.0684523
1.233,0.0684697
1.234,0.0685426
1.235,0.0686162
1.236,0.0686555
1.237,0.0686919
1.238,0.0687445
1.239,0.0687467
1.24,0.0687224
1.241,0.0687457
1.242,0.0687949
1.243,0.0688418
1.244,0.0688931
1.245,0.0689346
1.246,0.0689476
1.247,0.068953
1.248,0.0689986
1.249,0.0690656
1.25,0.0691207
1.251,0.0691248
1.252,0.0691394
1.253,0.0692003
1.254,0.0692046
1.255,0.0691719
1.256,0.0691955
1.257,0.0692445
1.258,0.0692403
1.259,0.0692356
1.26,0.0692009
1.261,0.0691718
1.262,0.0691833
1.263,0.0691222
1.264,0.0690514
1.265,0.0690413
1.266,0.0690722
1.267,0.0691082
1.268,0.069088
1.269,0.0690068
1.27,0.0689349
1.271,0.0688974
1.272,0.0688515
1.273,0.0688428
1.274,0.0688664
1.275,0.0688145
1.276,0.0687562
1.277,0.0687649
1.278,0.0688088
1.279,0.0688045
1.28,0.0688089
1.281,0.0687851
1.282,0.0686663
1.283,0.0685798
1.284,0.0685935
1.285,0.0686073
1.286,0.0686222
1.287,0.0686364
1.288,0.0685966
1.289,0.0686088
1.29,0.0686596
1.291,0.0687059
1.292,0.0687423
1.293,0.068743
1.294,0.0687282
1.295,0.0686567
1.296,0.0686063
1.297,0.0686247
1.298,0.0685914
1.299,0.0685859
1.3,0.0686013
1.301,0.0686022
1.302,0.0686298
1.303,0.0686683
1.304,0.0687117
1.305,0.0687295
1.306,0.0687281
1.307,0.0687038
1.308,0.0687021
1.309,0.0687452
1.31,0.0687229
1.311,0.0686628
1.312,0.0686438
1.313,0.0686835
1.314,0.0687132
1.315,0.0686337
1.316,0.0685742
1.317,0.0686163
1.318,0.0686753
1.319,0.0686984
1.32,0.0686798
1.321,0.0686583
1.322,0.06864
1.323,0.0686444
1.324,0.0686396
1.325,0.0686506
1.326,0.0686146
1.327,0.0685565
1.328,0.0685386
1.329,0.068543
1.33,0.0686016
1.331,0.068649
1.332,0.0685778
1.333,0.068657
1.334,0.0688173
1.335,0.0687766
1.336,0.0687002
1.337,0.0686011
1.338,0.068535
1.339,0.0685196
1.34,0.068547
1.341,0.0685514
1.342,0.0685593
1.343,0.0686125
1.344,0.0686726
1.345,0.0687411
1.346,0.0687924
1.347,0.0687893
